AgeLower,CD_3W_F_qx,CD_3W_M_qx,CD_3W_B_qx,CD_8W_F_qx,CD_8W_M_qx,CD_8W_B_qx,CD_1W_F_qx,CD_1W_M_qx,CD_1W_B_qx
0,0.30556,0.35174,0.32865,0.19562,0.22757,0.211595,0.36555,0.4195,0.392525
1,0.21582,0.21472,0.21527,0.13161,0.13176,0.131685,0.26178,0.26,0.26089
5,0.06061,0.05628,0.058445,0.03756,0.03555,0.036555,0.07318,0.06759,0.070385
10,0.04738,0.04043,0.043905,0.02934,0.02568,0.02751,0.05722,0.04848,0.05285
15,0.06153,0.05467,0.0581,0.03868,0.03548,0.03708,0.074,0.06515,0.069575
20,0.0766,0.0775,0.07705,0.04857,0.05028,0.049425,0.0919,0.09235,0.092125
25,0.08565,0.08677,0.08621,0.05454,0.05586,0.0552,0.10262,0.10364,0.10313
30,0.09654,0.10017,0.098355,0.06161,0.06432,0.062965,0.11561,0.11973,0.11767
35,0.10541,0.11679,0.1111,0.06789,0.07549,0.07169,0.12588,0.13933,0.132605
40,0.11227,0.1397,0.125985,0.07362,0.09152,0.08257,0.13336,0.16599,0.149675
45,0.11967,0.15972,0.139695,0.08098,0.10787,0.094425,0.14078,0.18802,0.1644
50,0.15285,0.19806,0.175455,0.1052,0.1375,0.12135,0.17886,0.2311,0.20498
55,0.19116,0.23544,0.2133,0.13488,0.17072,0.1528,0.22187,0.27076,0.246315
60,0.27149,0.30905,0.29027,0.19432,0.23049,0.212405,0.31359,0.35192,0.332755
65,0.34835,0.39205,0.3702,0.26006,0.3035,0.28178,0.39653,0.44037,0.41845
70,0.47131,0.50402,0.487665,0.3659,0.40538,0.38564,0.52884,0.55786,0.54335
75,0.60808,0.64946,0.62877,0.49548,0.54103,0.518255,0.66953,0.70862,0.689075
80,0.73485,0.76227,0.74856,0.64329,0.67938,0.661335,0.77831,0.80155,0.78993
85,0.86502,0.88141,0.873215,0.79818,0.82305,0.810615,0.89357,0.9064,0.899985
90,0.95126,0.95775,0.954505,0.91664,0.92841,0.922525,0.96425,1,0.982125
95,1,1,1,0.97887,1,0.989435,1,,1
100,,,,1,,1,,,
