Year,Population,Series,Baseline,Pop_Pct_1570
1531,50000,Tlaxcala,FALSE,1.887433468
1556,36000,Tlaxcala,FALSE,1.358952097
1571,26491,Tlaxcala,TRUE,1
1583,24000,Tlaxcala,FALSE,0.905968065
1593,16000,Tlaxcala,FALSE,0.60397871
1596,15000,Tlaxcala,FALSE,0.56623004
1623,10099,Tlaxcala,FALSE,0.381223812
1531,20000,Cholula,FALSE,1.696928559
1563,13640,Cholula,FALSE,1.157305277
1568,12000,Cholula,FALSE,1.018157136
1571,11786,Cholula,TRUE,1
1581,9000,Cholula,FALSE,0.763617852
1588,8114,Cholula,FALSE,0.688443917
1600,8085,Cholula,FALSE,0.68598337
1623,6469,Cholula,FALSE,0.548871543
1531,30000,Huexotzinco,FALSE,4.076086957
1559,11318,Huexotzinco,FALSE,1.537771739
1570,7360,Huexotzinco,TRUE,1
1588,5543,Huexotzinco,FALSE,0.753125
1623,4008,Huexotzinco,FALSE,0.544565217
1563,14842,Chalco 4 Hist Cabeceras,FALSE,1.434009662
1565,14501,Chalco 4 Hist Cabeceras,FALSE,1.401062802
1570,10350,Chalco 4 Hist Cabeceras,TRUE,1
1588,5064,Chalco 4 Hist Cabeceras,FALSE,0.489275362
1623,3822,Chalco 4 Hist Cabeceras,FALSE,0.369275362
1570,2420,Mexicaltzinco Juris,TRUE,1
1580,1800,Mexicaltzinco Juris,FALSE,0.743801653
1620,824,Mexicaltzinco Juris,FALSE,0.340495868
1564,10583,Xochimilco Juris,FALSE,1.23388131
1570,8577,Xochimilco Juris,TRUE,1
1586,7300,Xochimilco Juris,FALSE,0.851113443
1619,5960.5,Xochimilco Juris,FALSE,0.694939956
1563,5670,Coyoacan Juris,FALSE,1.090384615
1570,5200,Coyoacan Juris,TRUE,1
1597,3975,Coyoacan Juris,FALSE,0.764423077
1607,3500,Coyoacan Juris,FALSE,0.673076923
1618,3019,Coyoacan Juris,FALSE,0.580576923
1620,2857,Coyoacan Juris,FALSE,0.549423077
1525,30608,Tepetlaoztoc,FALSE,3.102057363
1526,27765,Tepetlaoztoc,FALSE,2.813925205
1531,24989,Tepetlaoztoc,FALSE,2.532583359
1545,9996,Tepetlaoztoc,FALSE,1.013073883
1551,8526,Tepetlaoztoc,FALSE,0.864092429
1568,9867,Tepetlaoztoc,TRUE,1
1597,5614,Tepetlaoztoc,FALSE,0.568967265
1561,8665,Tlatelolco,FALSE,1.575454545
1563,8312,Tlatelolco,FALSE,1.511272727
1565,6154,Tlatelolco,FALSE,1.118909091
1570,5500,Tlatelolco,TRUE,1
1588,3959,Tlatelolco,FALSE,0.719818182
1592,3000,Tlatelolco,FALSE,0.545454545
1623,2896,Tlatelolco,FALSE,0.526545455
1561,12971,Tenochtitlan,FALSE,1.049688436
1563,12886,Tenochtitlan,FALSE,1.042809743
1569,12357,Tenochtitlan,TRUE,1
1580,7871,Tenochtitlan,FALSE,0.636966901
1590,7652,Tenochtitlan,FALSE,0.619244153
1610,6000,Tenochtitlan,FALSE,0.485554746
